pdb,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,logKa
1nvq,9.2109253683,-23.2691780808,-0.016584208899999998,3.5,36.0,3.5,16.0,0.002860611,-3.4016698985000002,4.0,-58.7668593899,18.0359,32.6199,56.4561,36.457,69.6353,250.6777,266.5902,209.0104,0.0,939.4825,8.25
1z95,7.566250080900001,-15.2061352229,-0.1477102162,6.5,29.0,6.5,14.0,-0.0344520253,-2.9896025514,10.0,-70.1068128322,3.1628,0.0,70.1723,14.5294,115.6544,314.0894,162.7313,210.24599999999998,33.6937,924.2793,7.12
1z6e,7.8455043937,-37.562800399400004,-0.2085238721,7.5,38.0,7.5,12.0,-0.0502293952,-3.1492833244,10.0,-123.072499812,2.5314,10.0168,28.7384,30.9147,150.2584,401.8398,74.7236,117.9272,72.5928,889.5431,9.72
3f3e,4.501083389700001,-12.7295502473,-0.6337426949,3.5,9.0,3.5,4.0,-0.1422383808,-5.2602455397000005,4.0,-61.4022156109,36.9048,58.8614,0.0,0.0,0.0,0.0,141.9711,22.945999999999998,0.0,260.6833,7.7
2p4y,7.950664855,-22.8830469401,-0.3059826884,9.0,40.0,9.0,19.0,-0.0463052237,-1.4219950583,10.0,-59.2305717679,13.257,19.3398,46.0874,9.7437,80.6179,408.8925,316.2681,243.6662,56.0261,1193.8987,9.0
4w9h,5.851079069600001,-13.3519971962,-0.2485870959,7.5,33.0,6.5,13.0,-0.0541609016,-3.0586166255,8.0,-68.0765345169,2.6211,0.0,62.1352,18.815,111.09299999999999,263.4259,212.8427,100.2942,0.0,771.2271,6.73
3zsx,5.4208065007,-22.4010193168,-0.3081904933,10.0,34.0,9.0,18.0,-0.0805225322,-4.625637326600001,8.0,-48.6091671343,0.0646,27.5276,23.5866,46.5505,57.7231,245.9515,194.4432,159.3838,0.0,755.2309,3.28
1eby,8.603881709400001,-34.2237925516,-0.7823771085,15.0,48.0,13.0,26.0,-0.2022378628,-7.5720079774,10.0,-98.1749005823,53.2697,52.7412,76.1599,34.8981,126.4422,481.9928,356.1545,210.2187,0.0,1391.8771,9.7
2zda,6.9393581825999995,-19.2009858193,-0.5046264502000001,8.0,29.0,8.0,15.0,-0.11899408269999999,-5.743644789299999,10.0,-67.5199989794,52.9831,9.1022,71.5771,24.9046,83.8251,251.4916,183.7569,138.674,0.0,816.3146,8.4
2j78,4.1875164147,-20.5092825927,-1.085051757,3.5,13.0,3.5,0.0,-0.27263089809999996,-9.757265394800001,4.0,-87.156509156,0.0,41.7407,125.9884,14.6665,27.1761,56.0183,1.9041,112.03200000000001,0.0,379.5261,6.42
1gpn,7.3469145662,-7.3634254261,0.0661314584,0.0,19.0,0.0,12.0,0.006161316,-1.0860566382999999,0.0,-26.3406087766,8.5843,11.8536,44.1741,28.9547,44.5076,189.5286,237.9252,83.3137,0.0,648.8418,6.48
4w9l,5.8632329989,-14.529556712,-0.31536402550000003,10.5,41.0,8.5,17.0,-0.0690067392,-3.9828140255,8.0,-70.42031379310001,18.7968,0.0,69.5944,37.9857,127.1926,269.3896,248.8952,109.8755,0.0,881.7298,5.02
2v00,4.9365050584,-16.9893007572,0.49817907310000004,3.5,16.0,3.5,9.0,0.0848794628,-3.6595503127,6.0,-46.925609542,0.0,44.4978,61.2275,14.8776,48.1333,170.2704,104.9487,23.3404,0.0,467.2957,3.66
3ebp,6.5906203621,-15.0887914927,-0.052613237699999996,3.5,28.0,3.5,12.0,-0.0092126344,-0.2418243181,4.0,-20.5283459978,16.4059,10.1337,31.115,13.0242,48.5085,350.7266,87.8437,28.2637,29.21,615.2313,5.91
3acw,7.510790902,-3.1361465185000004,0.3115352077,2.5,21.0,2.5,15.0,0.0558259239,-0.73349,4.0,-19.284405637,5.0235,0.0,19.3126,22.8224,21.0258,450.9594,231.5704,104.2464,0.0,854.9605,4.76
4abg,4.0550041113,-12.3103680472,0.2464819796,2.5,15.0,2.5,5.0,0.047016709000000004,-2.4926704112999998,4.0,-47.401549198299996,41.6171,4.8368,22.4576,18.4241,49.6809,103.0412,27.5078,163.89700000000002,0.0,431.4625,3.57
4f3c,6.4922886927,-23.807104976999998,0.16923081280000002,7.5,23.0,7.5,5.0,-0.009293318299999999,-4.341307263,10.0,-104.168555438,15.6212,22.1257,87.8936,31.7217,79.6816,187.9579,176.6305,179.0344,0.0,780.6666,11.82
4gid,7.925066054,-29.5879963885,-0.060498255199999997,16.5,47.0,14.5,23.0,-0.0018630646,-7.7719720212,14.0,-127.118115251,34.4472,20.8418,94.3643,74.9062,202.6342,376.7638,390.0184,272.1265,0.0,1466.1024,10.77
3qgy,6.09016747,-9.3076653644,0.1059379607,4.5,30.0,4.5,15.0,0.013569565,-1.4873196777000002,8.0,-37.956127077,39.9154,3.5174,22.2644,17.154,101.3619,294.7177,139.3928,118.1131,0.0,736.4367,7.8
3ehy,3.7568991055,-19.6469110648,-0.6412683023,5.0,17.0,5.0,5.0,-0.1482309941,-2.6254834456,6.0,-64.9265690468,0.0,58.6827,12.2768,6.728,79.4636,118.4878,107.5437,134.1399,0.0,517.3225,5.85
2fvd,6.379001162200001,-22.220566107,-0.0786007884,6.0,30.0,6.0,8.0,-0.0084938142,-2.7296096860000003,6.0,-63.094670436899996,10.0828,19.6266,25.4328,9.3371,89.8057,170.61599999999999,241.3682,167.7099,39.162,773.1411,8.52
3coz,7.0030324495,-35.1330634301,-0.3737204899,9.0,30.0,9.0,3.0,-0.0861043911,-6.6060676615,12.0,-148.20002615200002,35.0439,16.7186,103.094,66.4122,178.6222,81.778,251.0107,226.7489,0.0,959.4285,5.57
3ary,4.0334028308,-12.601556242300001,-0.0698135782,2.0,17.0,2.0,5.0,-0.0085524934,-0.0,2.0,-26.230130512800002,25.4708,21.1236,10.6527,10.2457,49.9745,186.0679,45.1942,61.5101,0.0,410.2395,6.0
4kz6,3.7397281045999997,-13.218369988,-0.6963754059999999,3.5,15.0,3.5,5.0,-0.1412921787,-3.3471715914999995,6.0,-39.7585100493,0.5887,28.0741,54.6835,56.7129,34.6293,24.5838,176.7738,71.6105,0.0,447.6566,3.1
3dx2,4.0515273687,-14.2922580272,-0.5393205272,3.0,12.0,3.0,0.0,-0.1313533892,-10.6644091523,2.0,-85.0273123793,49.5583,19.6189,80.9436,0.0523,37.2392,39.631,4.5496,153.4936,0.0,385.0865,6.82
1lpg,5.7612925587,-28.686339136199997,-0.18383459870000002,10.5,41.0,10.5,22.0,-0.0645544549,-3.3130496367,8.0,-76.73862599270001,64.932,20.0501,76.5707,44.3696,136.8801,377.6662,107.531,289.5882,0.0,1117.5879,7.09
5a7b,4.8392589542,-11.7702773555,0.22070714100000002,9.5,31.0,8.5,18.0,0.0440167349,-0.0,8.0,-45.6664565986,0.0133,0.9536,49.5943,4.0282,57.8117,144.4134,254.3029,195.321,0.0,706.4384,3.57
4jxs,5.0500199708,-24.0212913919,-1.0689003072,6.0,22.0,6.0,7.0,-0.2197095946,-6.5864394691,6.0,-73.6731072263,2.2667,56.7181,27.475,55.4912,86.7128,159.8712,60.5066,100.8726,0.0,549.9142,4.74
4tmn,5.948948640299999,-33.6817434416,-1.4496036219,14.0,36.0,12.0,18.0,-0.3345887984,-7.4165154323,12.0,-121.76057226299999,15.567,91.2007,47.5705,46.6807,112.0503,263.8666,311.9082,111.34100000000001,0.0,1000.185,10.17
3ryj,4.3045154046,-9.9398970699,-0.1713505989,4.5,18.0,4.5,8.0,-0.0369825658,-2.1754506561,6.0,-36.4128054378,0.0,0.0,25.901999999999997,22.0982,59.9444,138.7168,77.7551,65.8195,69.6309,459.8669,7.8
3bv9,6.043253449600001,-21.5683394641,0.052862624299999994,13.5,47.0,12.5,19.0,0.0099681291,-3.1136797198000004,12.0,-74.8712044621,113.1752,18.8387,39.7916,31.2321,82.1212,122.9166,350.5357,174.4025,0.0,933.0136,5.36
3n7a,5.238013457799999,-12.2120510476,-0.3405960815,2.5,12.0,2.5,3.0,-0.0883268658,-7.7840599364,2.0,-73.4442510114,13.0397,67.0822,87.8278,19.0786,13.3936,18.2869,90.0904,71.5657,0.0,380.3649,3.7
3uev,3.7237380226,12.323218792,-0.12507471480000001,12.0,16.0,12.0,13.0,-0.0227528598,-0.9205886292000001,14.0,-4.1702133856,22.8252,20.1248,0.0,0.0633,24.4559,22.494,572.4540000000001,16.8467,0.0,679.2639,5.89
3myg,4.4568539427,-20.5094439605,-0.1168669617,8.5,30.0,7.5,6.0,-0.0233323169,-2.0802069796000002,12.0,-62.413911033000005,62.0964,11.7715,25.2745,33.8637,99.742,202.4689,265.3604,90.5637,0.0,791.1411,10.7
4j28,4.4706068802,-16.9261839427,-0.18903504280000002,2.0,17.0,2.0,5.0,-0.0398945211,-4.573750244,2.0,-60.655339418400004,14.28,35.1802,51.9876,41.3956,26.6343,138.5555,69.0121,67.8132,0.0,444.8585,5.7
3nw9,7.989400461900001,-38.130624348000005,-0.6308674140999999,8.0,38.0,8.0,13.0,-0.1667002723,-10.2707890787,6.0,-160.867955905,19.0236,21.2076,92.551,38.5946,169.305,279.2482,208.7743,228.0417,12.6904,1069.4364,9.0
2qbr,5.4762730145,-30.9340532271,-1.2467716322,8.0,28.0,8.0,12.0,-0.2234283889,-4.3997224066000005,8.0,-57.033380468199994,31.0886,68.4563,14.8727,31.0424,61.7877,286.5762,101.9068,126.8179,4.3824,726.931,6.33
4ivc,7.1942606274,-16.7711681661,-0.3021758753,3.5,24.0,3.5,9.0,-0.0589359215,-2.8352762554,4.0,-67.070472298,8.0439,19.2377,19.4981,31.2694,134.0603,143.5693,288.1214,120.8313,0.0,764.6314,10.0
3wz8,6.6043292902,-20.7562926851,-0.3349555434,9.0,33.0,9.0,20.0,-0.06899206940000001,-3.3158882430000003,10.0,-59.772943613500004,0.0,63.5615,65.2133,31.1312,101.8233,373.8689,187.8647,117.6216,0.0,941.0845,5.82
3d6q,3.5629423448,-18.473994540699998,-0.0790848918,4.0,22.0,4.0,4.0,-0.0287821476,-2.8999113942,4.0,-53.2713175931,18.5447,1.0996,43.7295,22.5965,69.5631,91.1646,32.3755,55.4411,0.0,334.5146,3.76
3b65,7.742962491699999,-10.0171042273,-0.1620352759,5.5,25.0,5.5,11.0,-0.0322148808,-2.5340979265,6.0,-65.7508137645,3.7774,0.0,68.8544,11.4774,122.0802,294.1379,156.641,241.8358,5.2824,904.0865,9.27
3oe4,7.018428404600001,-40.8489529578,-0.7405168342,8.0,33.0,8.0,5.0,-0.1759422463,-10.1219712926,8.0,-153.509584225,10.5914,27.5097,115.427,39.6897,188.7044,200.713,156.5913,262.6509,0.0,1001.8774,7.47
4ddk,4.2045553874,-21.188978436099998,-0.4224829051,1.0,12.0,1.0,4.0,-0.0842266567,-0.6413196466,1.0,-49.9312535197,0.0,29.2262,0.0,6.4479999999999995,48.266999999999996,128.0988,46.8376,120.9256,0.0,379.8032,2.29
2xnb,6.811320168200001,-19.2819191059,0.3365105422,4.0,27.0,4.0,6.0,0.0562073387,-1.9372497786000002,4.0,-49.998932642,6.3368,14.8564,10.7168,9.7926,111.9778,228.9342,196.7488,135.5351,0.0,714.8985,6.83
3e92,9.2334581811,-8.0807419716,-0.04970861730000001,4.0,26.0,4.0,17.0,-0.019576848100000002,-3.6595063032999997,4.0,-46.235681513100005,8.2305,14.9585,22.436999999999998,25.0009,81.7251,219.7547,459.6225,82.9183,0.0,914.6475,8.0
1h22,7.1247697848,-9.6808650764,0.0509408805,13.0,34.0,13.0,20.0,0.0009021927,-2.8165502556999997,14.0,-48.2334368818,3.3692,11.5637,65.6539,42.3969,87.7165,341.0279,361.79,115.3842,0.0,1028.9023,9.1
5tmn,5.2366858409,-26.6416330726,-1.3146854713,14.0,32.0,12.0,14.0,-0.30072356510000003,-5.4316768225,12.0,-97.17632729629999,17.7156,90.5246,32.4612,38.8894,99.64299999999999,190.8079,309.8385,106.3631,0.0,886.2433,8.04
4lzs,4.6231654653,-4.4154044228,-0.12142926949999999,3.0,15.0,3.0,6.0,-0.024029132400000004,-1.7401610156,2.0,-22.2722258077,0.0,0.0,4.1623,41.8461,45.1436,66.8571,261.5162,79.0442,0.0,498.5695,4.8
4f2w,6.434973784099999,-26.652899479000002,0.0946568845,5.0,20.0,5.0,2.0,-0.016356827,-4.0207868028,8.0,-103.43509477799999,13.5744,22.2321,82.8467,33.1009,84.5693,110.6124,80.5305,267.9382,0.0,695.4045,11.3
3gy4,4.2458508744,-14.72187779,-0.6463807276,2.0,10.0,2.0,5.0,-0.1514730199,-4.3698546938,4.0,-51.2484108523,39.0406,7.5221,84.7953,13.1382,44.4557,114.0752,17.4523,69.0016,0.0,389.481,5.1
2w66,4.7323821263,-22.6790927107,-0.44220645119999996,4.0,16.0,4.0,1.0,-0.1257495256,-6.3240700961,4.0,-73.5545679074,9.2002,28.4951,94.2077,32.6587,20.095,43.5257,108.6113,147.5234,0.0,484.3171,4.05
3utu,7.278538628400001,-32.424145497,-0.7287589895000001,13.5,47.0,12.5,19.0,-0.1523972173,-5.4512096612,12.0,-109.18371996399999,57.5749,27.6158,82.7035,37.4653,129.9548,266.3844,192.4716,244.2581,63.06100000000001,1101.4894,10.92
3bgz,7.7273244849000005,-8.6534362938,-0.5325357447,3.0,24.0,3.0,18.0,-0.0916789151,-1.6425995107,2.0,-13.3464300071,12.0393,44.5478,0.0,16.1746,7.3066,322.7643,226.3147,51.3427,0.0,680.49,6.26
4owm,3.4088434306999997,-13.4461479726,-0.0718380106,1.5,11.0,1.5,5.0,-0.0155866625,-1.0574505283,2.0,-17.0505471722,21.284000000000002,17.3163,0.0,13.6591,5.7495,151.8712,61.2523,40.4001,8.5639,320.0964,2.96
3u5j,6.3978078458,-2.637263295,-0.0148605074,1.0,22.0,1.0,12.0,-0.0038214828999999996,-0.0,1.0,-13.8176899972,0.0,0.3558,4.63,18.3096,75.6952,220.9333,203.78099999999998,48.7826,34.9494,607.4369,5.61
3fur,8.1340446899,-8.390370105299999,-0.021505926800000002,5.0,31.0,5.0,15.0,-0.0076062913,-1.8370917191,6.0,-53.0706934083,0.7863,2.2655,101.164,17.1789,117.4313,322.6033,229.6377,116.0296,223.5097,1130.6063,8.0
4pcs,5.0291595152,-12.771586559200001,-0.0126380327,3.0,16.0,3.0,9.0,-0.009484025699999999,-4.9631087407,4.0,-50.5060382884,18.2311,40.6728,51.6263,17.2289,17.4774,118.2579,84.1936,63.9759,0.0,411.6639,7.85
4llx,3.6836894686000003,-5.4698403072,0.22232081899999998,0.5,9.0,0.5,3.0,0.0354495717,-1.2206593881999999,1.0,-8.2547037949,0.0,0.0,62.4426,20.648000000000003,47.1569,110.2155,181.8463,2.8497,0.0,425.159,2.89
4hge,6.542510752999999,-19.774046886500003,0.0070635087,3.0,25.0,3.0,9.0,0.0019730881,-0.6452951624000001,4.0,-46.462476621099995,0.6863,29.4612,3.3759,15.924000000000001,101.2738,280.6812,203.2905,120.1075,63.0377,817.8381,7.92
4wiv,5.9013598091,-0.2813961036,0.0124839998,3.0,27.0,3.0,12.0,-0.0012982773,-0.590386101,4.0,-12.4008807132,0.0,0.5066,5.444,19.5237,57.2432,185.292,336.8909,16.129,0.0,621.0294,6.26
4agp,4.4883353335,-11.861193441,0.2021131695,9.5,30.0,8.5,16.0,0.040598671499999996,-0.0,8.0,-46.446420525,0.3065,1.5066,45.7122,3.7128,57.5427,143.9168,183.6797,186.5051,15.8326,638.715,4.69
2y5h,5.6117632873000005,-24.4363953876,0.4625241242,6.0,31.0,6.0,8.0,0.0796276744,-0.6010877201,8.0,-88.859306191,0.0,19.8037,40.5536,53.0162,180.9513,177.1156,161.8771,286.8682,68.2898,988.4755,5.79
3e5a,6.1579786205,-16.7119681882,0.014200366399999999,7.0,33.0,7.0,10.0,0.0005281128,-1.6209175462999998,8.0,-59.6422503653,40.135,12.6912,14.5768,35.8861,117.5193,214.6043,320.9836,132.9927,0.0,889.3889999999999,8.23
3kr8,8.349602731100001,-16.9288685161,-0.0678111505,2.0,21.0,2.0,11.0,-0.017310363999999998,-2.1806290955,2.0,-61.2129531862,0.0,8.2125,15.2123,18.377,102.8331,203.5111,94.61399999999999,114.7584,79.1425,636.6609,8.1
1ps3,5.1140756525,-26.4549451978,-0.8403374883,3.0,16.0,3.0,0.0,-0.2017317547,-9.6231907577,4.0,-93.69627665639999,17.8212,20.5684,105.0315,14.7965,46.0751,44.8722,2.0158,145.7,0.0,396.8807,2.28
1p1n,5.2787148179,-25.614108936300003,-0.8958920209000001,4.0,15.0,4.0,6.0,-0.18588103579999998,-7.6902832399,4.0,-74.7190933059,26.3138,106.6662,36.575,8.7502,10.6599,33.9594,124.991,140.6954,0.0,488.6109,6.8
1c5z,3.8798246946,-11.199732159000002,-0.5153867485,1.5,9.0,1.5,6.0,-0.1290575655,-4.0988961529,2.0,-38.2650877348,42.2051,13.1529,62.8408,12.5573,55.9203,142.1169,37.609,77.8085,0.0,444.2108,4.01
3jvs,5.5160868517,-13.3605056802,-0.5490319348,5.0,30.0,5.0,18.0,-0.1039135283,-2.1239009789,4.0,-44.1404599932,0.0,12.0841,8.9422,31.3091,98.2112,185.1307,198.3345,78.1827,0.0,612.1945,6.54
3u8n,4.912248544100001,-13.3239485386,0.1394804584,3.0,17.0,3.0,4.0,0.0282100254,-1.5673287669,4.0,-64.019153898,20.6139,0.0,27.1173,13.8043,104.321,155.0184,92.1039,232.3196,5.0358,650.3342,10.17
2w4x,4.2960142555,-17.0209215111,-0.5869020235,5.0,18.0,5.0,0.0,-0.1449742985,-4.9497298831,4.0,-61.468581786099996,0.0,17.5616,104.0055,20.0975,78.1716,72.014,46.8476,176.1568,0.0,514.8546,4.85
3nx7,4.0355519565,-17.2010519853,-0.3629601916,8.0,20.0,7.0,4.0,-0.0831557613,-5.0680124805,6.0,-75.0034160346,0.0,9.5917,39.1774,23.1952,111.4921,110.8343,73.3684,164.4856,0.0,532.1447,8.1
4cr9,4.2554302538,-13.314589206199999,-0.2680832601,1.0,13.0,1.0,7.0,-0.0611290566,-1.6454967962,2.0,-45.758142848599995,0.0,6.5007,74.0539,14.8771,51.5543,119.6806,106.585,53.9353,0.0,427.1869,4.1
3syr,7.065269076,-34.5842222027,-0.9748595543,4.0,20.0,4.0,1.0,-0.2120446241,-9.0887406041,4.0,-116.064743687,27.79,77.4017,63.6736,134.2718,176.0671,156.8614,223.0566,201.6015,33.446999999999996,1094.1707,5.1
1p1q,3.5812282505,-20.2016935612,-0.4972182012,3.5,13.0,3.5,3.0,-0.10287930740000001,-6.7366948955999995,4.0,-76.2065156722,32.5545,67.1248,31.5363,36.633,48.251999999999995,52.3599,93.2388,56.7553,0.0,418.4546,4.89
4ivd,6.5333714676,-15.7997706846,-0.225548175,4.5,25.0,4.5,10.0,-0.0463932425,-2.8918430042,5.0,-65.3827191429,3.3314,21.8835,18.9021,30.7684,129.5857,145.8203,311.4582,122.2684,0.0,784.018,9.52
2wvt,3.6734352784,-20.8683479524,-0.428724905,4.5,13.0,4.5,0.0,-0.1101995376,-8.1989878945,4.0,-82.4381073491,19.9393,39.5032,117.1561,14.4163,18.0443,53.0881,2.3202,124.4926,0.0,388.9601,6.12
3coy,7.5063679573,-34.2702371384,-0.3457011719,9.0,31.0,9.0,4.0,-0.0825469646,-6.852417612899999,12.0,-148.13860369999998,27.6869,14.8685,101.5106,63.7005,179.7039,81.5881,276.7283,227.6405,0.0,973.4273,6.02
2iwx,6.3296739597,-11.822927267699999,-0.2174504454,1.0,24.0,1.0,13.0,-0.057813681799999996,-2.0198334177,2.0,-38.677147747,0.0,18.1479,51.8219,35.4919,57.2445,74.4613,272.6721,94.845,49.4056,654.0902,6.68
4m0z,7.7762849424,-20.903790189200002,-0.3345081145,4.0,24.0,4.0,8.0,-0.0774785487,-4.5362762399,4.0,-67.509172667,3.6829,1.1797,11.5094,113.5189,100.0684,295.0972,108.2332,169.8139,0.0,803.1036,5.19
3b5r,7.5006760749,-18.0309959203,-0.08330245929999999,6.5,28.0,6.5,14.0,-0.0236257129,-3.2201457933,10.0,-70.1627487796,3.6862,0.0,66.5642,15.0994,111.064,374.2405,144.9545,200.2793,34.7322,950.6203,8.77
1bcu,4.9552750675,-15.004036723199999,-0.33169884780000003,0.5,16.0,0.5,9.0,-0.0728869013,-1.0117247617,1.0,-46.014783664700005,0.0,16.2027,66.6193,14.2073,48.2368,199.0264,44.5029,64.3287,0.0,453.1241,3.28
3uo4,6.5761926138,-18.6359197931,0.08272300219999999,6.0,29.0,6.0,17.0,0.010415558,-4.0160337876,6.0,-35.7116550119,54.5932,29.7352,19.5709,7.2146,68.9133,372.7634,175.0847,72.953,0.0,800.8283,6.52
4crc,7.108398287999999,-20.1869724169,-0.0595960625,9.0,39.0,8.0,19.0,-0.0145451067,-3.8146321033999997,8.0,-98.17866338600001,14.4582,6.9495,32.1325,37.0538,201.5418,312.5292,145.1063,124.5445,65.798,940.1138,8.72
3ivg,5.6614205603,-27.527490950300002,-0.38077666369999996,7.0,29.0,7.0,11.0,-0.0826936626,-1.2791918902,8.0,-94.36651781370001,1.4454,53.8845,23.4707,57.2351,133.0131,351.3993,125.0791,198.7616,0.0,944.2888,4.3
1pxn,6.0784242951,-17.317918947,0.09341728640000001,3.5,22.0,3.5,6.0,0.008325111500000001,-2.1964944842,4.0,-48.8418448321,13.9911,18.3678,38.8087,11.1765,88.6263,258.1994,245.6383,90.69200000000001,0.0,765.5001,7.15
1bzc,6.3380724202,-38.3888715072,-1.121872955,8.0,29.0,7.0,14.0,-0.22887821960000002,-7.26301798,10.0,-76.2736960213,50.5948,123.3301,5.0685,33.5676,29.6406,211.4853,98.3972,85.0473,0.0,637.1314,4.92
3jya,5.495717834400001,-6.6221530972,-0.10901861869999999,0.0,16.0,0.0,5.0,-0.0173690432,-0.18561697940000002,0.0,-8.3875975131,11.1263,1.1716,0.0,22.1097,59.1339,171.5701,197.0275,18.8504,91.1416,572.1311,6.89
1a30,3.6664671234,-33.3483135574,-1.6012820190000001,12.5,26.0,10.5,7.0,-0.3774612889,-3.6887358798000003,10.0,-82.27178849159999,37.7487,162.6508,2.0719,26.9818,78.7331,0.0,308.8565,116.0641,0.0,733.1069,4.3
1sqa,5.595567828099999,-27.717552879099998,-0.2246826568,7.0,31.0,7.0,15.0,-0.0672023538,-5.1018703789,8.0,-85.90515321129999,52.635,179.2295,91.6607,28.7186,112.3093,294.4924,176.9667,151.7047,0.0,1087.7169,9.21
1q8u,6.070319230599999,-8.8508477924,0.2752494574,2.0,22.0,2.0,9.0,0.047236756,-0.9678107154000001,2.0,-33.8122386475,13.0053,16.2256,9.5589,7.0388,90.8574,167.488,240.8576,98.00399999999999,0.0,643.0356,5.96
3uex,3.8525021921,16.7186796217,-0.1914482249,16.0,20.0,16.0,17.0,-0.0395277761,-0.1413801975,18.0,-5.8110158458,4.8117,26.1713,0.0,0.0505,25.1847,29.4772,721.6922,19.0117,0.0,826.3993,6.92
4u4s,4.0088529205,-12.9749833362,-0.07558614450000001,1.0,14.0,1.0,2.0,-0.0088825639,-1.0809882224,1.0,-62.859161467700005,0.0,0.0,68.8874,6.1317,99.3554,93.6012,125.5129,103.2702,0.0,496.7588,2.92
3rlr,6.6818225087,-14.328595121800001,-0.18310110870000001,2.0,23.0,2.0,9.0,-0.0421976797,-1.5989055114,2.0,-47.607249133900005,0.0,9.3533,13.1159,36.4165,98.8337,102.8126,246.2225,80.2828,100.5466,687.5839,7.52
4mgd,5.6800438714,-1.8473459093,-0.18915240120000001,4.0,19.0,3.0,14.0,-0.0539995338,-2.2326848808,4.0,-18.2659621069,6.5501,10.144,60.5247,1.1997,28.0916,253.9577,178.9568,45.3128,135.6762,720.4136,4.69
