pdb,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,logKa
3d4z,3.8781816769999997,-22.378251787199996,-0.8130516603,3.0,14.0,3.0,0.0,-0.18796414739999998,-8.5293591254,4.0,-86.08061868909999,15.9868,20.7102,107.7121,0.0164,47.7285,82.9177,2.3797,107.5505,0.0,385.0019,4.89
3gr2,2.9586932827999997,-6.388001084500001,0.1985924175,2.0,14.0,2.0,4.0,0.032009503599999996,-1.7882999643000002,2.0,-38.188782770100005,0.1612,0.0,12.2214,55.5884,89.5441,28.6,129.1485,49.383,0.0,364.6466,2.52
3aru,4.053896541399999,-14.0061455829,0.0147064745,5.0,20.0,5.0,4.0,-0.00366745,-1.0487880114,5.0,-36.3080924054,26.6707,2.3322,0.0066,19.29,67.9714,130.0126,173.5255,87.0156,0.0,506.8246,3.22
2c3i,6.5140880155,-7.0880879499,0.0376573766,4.0,23.0,4.0,12.0,0.0049657273,-0.6557547297999999,6.0,-11.0436528219,8.7567,8.7332,4.5761,5.4936,54.7506,247.7347,304.8639,53.7113,0.0,688.6201,7.6
4ogj,4.7168394732,-5.795275150399999,0.1787735177,11.0,37.0,11.0,15.0,0.029640330899999998,-1.7877865213,12.0,-17.7873672168,0.0,0.0,20.3761,17.7557,59.6724,260.0508,258.7554,17.2556,0.0,633.866,6.79
3b68,7.5960371098,-26.3949750554,-0.41571279240000003,8.5,31.0,8.5,13.0,-0.0936740079,-3.2722382531,8.0,-82.529287491,3.8727,0.0,31.9648,21.372,173.3745,269.8385,265.191,204.8914,0.0,970.5049,8.4
4agn,3.957398597,-11.717091995599999,0.11775448460000001,8.0,24.0,7.0,11.0,0.0237210666,-1.0014925762,8.0,-41.693441999499996,0.1217,1.7921,65.8352,3.4053,54.1284,90.9176,158.083,167.7369,0.0,542.0202,3.97
2pog,7.0075140734,0.0245279056,-0.1651672782,2.0,21.0,2.0,14.0,-0.0500826972,-2.5478435291,4.0,-21.2804152995,9.2546,7.7649,47.3435,8.1481,13.2299,294.0509,262.7627,62.3734,0.0,704.928,9.54
1k1i,5.5845434734,-23.962619526799998,-0.9497155170999999,8.5,36.0,7.5,19.0,-0.2103429273,-6.0935928683,8.0,-80.033661115,38.7166,26.2839,71.4506,20.2651,100.8317,139.119,116.6597,116.7924,0.0,630.119,6.58
2zcr,6.3528229041,-16.5054100693,-1.7292540193000001,10.0,28.0,9.0,19.0,-0.3541216371,-3.6719829682,10.0,-41.9840947469,36.3473,100.3413,29.5696,16.6443,48.4786,298.9561,359.8751,51.2211,0.0,941.4334,6.87
4qd6,4.5353960519,-10.363333512,-0.1994652706,7.5,35.0,7.5,18.0,-0.0405253225,-2.0904391651,6.0,-42.2803293532,7.5169,5.0675,23.8624,22.8839,65.751,259.6415,132.7761,47.6801,0.0,565.1794,8.64
3gnw,8.679020425,-20.0056536889,0.0344666951,5.5,44.0,5.5,22.0,-0.0071661973,-4.1782891105,8.0,-73.7143733737,43.6027,3.5723,84.205,16.9794,138.8551,307.2175,139.0825,181.7394,30.2682,945.5221,9.1
2ymd,5.0293795622,-7.235636798300001,-0.1408227451,3.0,13.0,3.0,6.0,-0.034928793799999996,-3.6589341811000002,6.0,-46.1041594212,41.5632,0.0,39.7896,34.5854,44.4487,208.5799,75.0471,69.2921,0.0,513.306,3.16
2xdl,4.6019309298,-13.6711973744,-0.09245641449999999,4.5,16.0,4.5,6.0,-0.0184692782,-1.3917092562,4.0,-37.8441671634,19.7071,9.4386,39.0851,14.6924,53.902,106.4722,221.3,160.2973,0.0,624.8947,3.1
1o0h,4.529447448,-38.1110695046,-0.9641799399,7.5,27.0,7.5,0.0,-0.2000153881,-7.233473002799999,10.0,-109.70037565,45.8911,107.7124,44.4522,50.7524,97.3311,69.2865,48.8559,104.5801,0.0,568.8617,5.92
3rsx,5.0592179354,-8.8901848611,-0.3144691677,1.5,16.0,1.5,9.0,-0.0907253781,-2.1506146847,2.0,-45.967994337600004,0.0,16.9776,59.2914,8.6572,61.3514,249.5495,48.2745,35.416,0.0,479.5176,4.41
2xii,6.6188303875,-27.387775775100003,-0.2068955243,4.5,28.0,4.5,13.0,-0.0513809745,-8.1402133408,6.0,-89.2578406476,42.9251,44.7088,71.2424,17.7568,51.4719,216.4973,90.0021,124.6687,0.0,659.2731,7.2
3pyy,6.4345923693,-14.489640186199999,-0.1149085434,3.0,25.0,3.0,12.0,-0.0183812594,-1.6095191116999998,2.0,-54.9706085459,0.0,0.0,9.9545,29.1847,66.7327,252.8463,159.7106,94.1757,0.0,612.6045,6.86
3uri,5.2385782451,-41.4725734907,-0.1036714766,28.5,65.0,22.5,17.0,-0.0105402513,-5.3006755085,20.0,-114.429361718,2.73,105.1789,61.9812,50.1029,182.4147,271.5017,405.6312,264.4388,0.0,1343.9794,9.0
4k77,5.5477442801,-14.7874664658,-0.1211578782,2.0,18.0,2.0,7.0,-0.0229215625,-1.3327366602,2.0,-23.9021286065,0.6122,18.2004,4.7138,27.3057,96.6275,153.3115,266.0951,75.5406,0.0,642.4068,6.63
3pww,8.0036448377,-24.188732489099998,-0.14609653820000001,13.5,49.0,11.5,25.0,-0.0354349019,-6.2821804822,10.0,-91.6657342847,3.0947,68.1595,74.0233,42.983999999999995,133.9981,274.0394,451.8643,147.5855,0.0,1195.7488,7.32
4ty7,7.0578094827,-16.994083112000002,-0.10367881150000001,8.0,35.0,7.0,19.0,-0.0208971301,-5.365992793,8.0,-74.535860169,63.1663,5.4903,66.38600000000001,31.3066,109.43299999999999,188.2722,226.8092,143.5345,24.9157,859.3138,9.52
1y6r,6.853855253300001,-28.7559473372,-0.3202930783,4.5,20.0,4.5,1.0,-0.1210918641,-6.468802342899999,4.0,-110.496351663,25.549,22.7282,106.9685,33.7948,84.2198,113.7048,74.4301,214.8879,0.0,676.2831,10.11
3wtj,4.6394929526999995,-12.896697948499998,0.0015916733,3.0,16.0,3.0,4.0,-0.0017237015,-1.0648881169,3.0,-60.2650420545,0.0,0.0,14.5894,18.6623,146.1087,177.9084,60.3448,173.9674,68.5601,660.1411,6.53
2brb,5.7811261283,-14.207297880499999,-0.0494225562,4.5,25.0,4.5,14.0,-0.0099387895,-0.5650366866,8.0,-28.7078670677,10.0781,14.2415,28.8043,8.0659,56.9659,184.2984,170.8842,201.4078,0.0,674.7461,4.86
4j3l,7.885501603400001,-15.549034463,-0.046767322400000005,5.0,26.0,5.0,14.0,-0.018461943300000002,-2.20047,8.0,-40.2385572496,0.0,5.1766,12.434000000000001,28.7588,70.6034,309.1154,162.9131,85.5725,54.576,729.1498,7.8
4twp,6.0981038318,-9.9284619608,-0.18206688780000002,5.0,28.0,5.0,14.0,-0.038698932400000004,-2.4259668306999997,6.0,-50.294719819399994,19.3938,11.6367,6.8412,50.5026,128.7488,334.7936,218.7489,116.3266,0.0,886.9922,10.0
3gc5,6.4420739673,-25.331165168800002,0.8016238861,4.0,20.0,4.0,4.0,0.1402946323,-6.8934050341,6.0,-103.71156182899999,27.8139,43.1368,77.9169,51.3593,85.9214,138.3314,93.2594,119.4169,0.0,637.156,7.26
2zcq,5.9466528165999994,-21.959979114699998,-1.5314611059,8.0,25.0,7.0,13.0,-0.3133175884,-5.4802045209,10.0,-53.520359452799994,39.2578,107.3603,24.877,8.7968,64.3747,285.9329,155.9922,53.8956,0.0,740.4873,8.82
3arp,6.2030369112,-7.715192560299999,-0.1120405975,12.0,34.0,12.0,22.0,-0.0181612124,-0.0,14.0,-21.1641497996,33.9967,8.9795,52.8877,25.1827,3.6308,408.1978,286.9991,33.1477,0.0,853.0219999999999,7.15
3g2z,2.9155787406,-6.2622735636,0.4109084329,2.0,13.0,2.0,4.0,0.0731362879,-3.9487580848,2.0,-46.497772159899995,0.0912,0.0,49.5028,34.2874,76.2075,31.7519,73.8522,35.1878,0.0,300.8808,2.36
3tsk,5.8238665906,-16.2552019605,-0.3190388104,15.0,40.0,13.0,20.0,-0.0546743446,-2.4301550586,12.0,-55.785097846599996,3.0577,15.6151,14.3322,48.7637,165.3611,319.1184,267.4084,143.1675,0.0,976.8241,7.17
3g2n,6.4195851639,-28.481592737600003,-0.8620561272,5.0,20.0,5.0,6.0,-0.18099599239999997,-6.5261906005,4.0,-79.22919862260001,1.1018,23.7631,112.3769,68.467,77.7046,143.1036,110.6937,179.0918,0.0,716.3025,4.09
3k5v,6.208325374099999,-16.262830256500003,-0.0236770572,6.0,27.0,6.0,14.0,-0.0043569306,-0.08685255089999999,8.0,-26.366442294400002,0.0,5.8121,47.688,5.571000000000001,56.1994,194.0434,154.0688,49.8836,109.0277,622.294,6.3
3qqs,5.5372480382,-23.522466847600004,-0.4172751261,4.0,19.0,4.0,10.0,-0.08436601980000001,-3.5344462583,4.0,-28.018305783800002,37.3801,56.7892,3.0996,28.3624,7.3868,246.6963,86.90299999999999,84.48,0.0,551.0974,5.82
4ciw,5.524133237000001,-25.630282390799998,-0.9213881333,5.0,15.0,5.0,4.0,-0.2140470518,-7.9478849279,6.0,-81.7132872009,10.885,54.2789,107.5365,23.2153,18.4876,32.3841,121.0869,117.9216,0.0,485.7959,4.82
3zdg,3.5732185397000005,-11.1808961358,0.1675731254,5.0,13.0,5.0,2.0,0.0379801122,-0.6756249739,6.0,-58.2175854034,1.0141,0.0,18.4039,11.0419,83.0018,69.8788,129.4576,286.4037,0.0,599.2018,7.1
3e93,9.7831502569,-11.4802334048,-0.0059192643,5.0,37.0,5.0,19.0,-0.0097774217,-2.9125640967,6.0,-63.2141192834,7.8416,11.4315,8.3519,16.9974,103.6321,297.6368,370.4135,220.7644,0.0,1037.0692,8.85
3arv,7.0066852297,-14.842976989,-0.0219093463,0.0,25.0,0.0,11.0,-0.0037554688,-0.4958612447,0.0,-25.566256048699998,23.0837,15.1702,0.0,13.4929,9.6359,247.3516,55.7621,63.4294,0.0,427.9258,5.64
1s38,5.809937615499999,-18.298213662200002,0.35440036329999997,0.5,13.0,0.5,6.0,0.060043491399999996,-4.0675761299,1.0,-45.9349286084,0.0,31.9747,56.0647,31.8593,54.4752,170.7528,88.164,39.4546,0.0,472.7453,5.15
1yc1,6.9220991628999995,-25.4037073298,-0.7775507443,5.0,27.0,5.0,11.0,-0.1455170811,-3.0850516051,4.0,-65.1246480213,17.7454,38.7278,58.8555,59.4467,57.7056,150.975,215.2642,88.15799999999999,0.0,686.8782,6.17
4dld,5.2753921082,-32.8897062698,-1.5416639518000002,7.5,21.0,7.5,8.0,-0.33581372670000004,-9.5106807266,6.0,-85.8888477286,38.1398,105.395,63.5128,15.8504,69.9935,76.8152,122.3552,118.1699,57.0701,667.3019,5.82
4ddh,4.2430562775,-22.949794530100004,-0.4707245424,3.0,15.0,3.0,6.0,-0.09727544380000001,-2.4728955209,4.0,-68.78153576529999,12.7441,59.9204,4.2173,9.3011,44.8153,144.7038,55.63,142.4955,0.0,473.8275,3.3
3dd0,3.6656749542,-7.434522611799999,-0.2638510228,3.5,16.0,3.5,4.0,-0.05353010019999999,-2.0093298409,4.0,-47.3100829953,0.0,0.0,69.6923,21.4987,111.6365,130.9184,119.7499,38.8206,0.0,492.3164,9.0
3zso,5.8889271536,-27.716650686399998,-0.329410359,13.0,44.0,11.0,22.0,-0.0797083583,-4.3525149901999995,10.0,-65.43118082720001,0.0,28.7454,24.3355,42.771,72.7546,267.9665,188.917,240.1855,0.0,865.6755,5.12
4ivb,7.1833389613,-16.0864039068,-0.2261789764,2.5,23.0,2.5,8.0,-0.0547256889,-2.5054331373,3.0,-54.9312274678,3.3027,20.4963,19.7792,27.971,125.4474,144.1178,283.0033,115.8347,0.0,739.9524,8.72
2al5,6.2683101863,-32.177846889899996,-0.5978310245,3.5,15.0,3.5,1.0,-0.11195991359999999,-9.441615308200001,3.0,-103.391378774,32.6787,32.4966,30.9592,27.4213,51.8104,117.6266,51.8241,105.5779,24.781999999999996,475.1768,8.4
3mss,4.3647496034,-1.3087662070000001,-0.0241098163,6.5,21.0,6.5,12.0,-0.0019730881,-0.0,6.0,-8.531581600099999,1.6926,0.0,0.8826,2.4722,18.4476,251.4138,149.0993,62.5625,0.0,486.5706,4.66
2hb1,4.0848864939,-29.1158928849,-1.1286797422,4.0,14.0,4.0,1.0,-0.21041627629999998,-4.0939304256,6.0,-56.2562551481,18.3457,87.9228,12.0031,14.0509,23.322,122.7997,46.71,102.244,0.0,427.3982,3.8
3n86,8.0142217635,-31.281096685700003,-1.0014852413,6.5,23.0,6.5,10.0,-0.22518143,-8.32731197,8.0,-92.34207807879999,11.314,60.13399999999999,85.8889,37.2613,50.2432,204.7977,196.4912,111.242,0.0,757.3723,5.64
3arq,6.4261939088,-18.7840994429,-0.121979387,5.5,36.0,5.5,15.0,-0.0322955647,-1.8607981159,6.0,-37.8666853064,58.5212,23.2755,33.6411,14.0652,73.7141,246.8896,127.4652,63.8547,0.0,641.4266,6.4
1q8t,4.7316266316,-8.1834525763,0.1693481712,3.5,18.0,3.5,9.0,0.027065781,-1.5238108052000001,4.0,-24.2600570567,23.9777,28.3001,9.4939,11.5293,73.1111,153.0338,252.81099999999998,50.6764,0.0,602.9333,4.76
4cra,6.9853773452,-26.1703144033,-0.40141707229999996,8.0,38.0,7.0,20.0,-0.099167848,-4.5749751723,8.0,-89.8544467438,0.1975,6.7339,85.0794,41.0848,138.749,343.2448,138.6081,146.6152,0.0,900.3127,7.22
2xj7,6.049048020599999,-21.0247133506,-0.11933148810000001,2.5,16.0,2.5,2.0,-0.048050929900000004,-5.2715999649,2.0,-74.9596486863,4.0605,29.3844,80.816,35.3086,21.7905,47.6201,143.5744,134.7847,0.0,497.3392,6.66
4e6q,6.5446525438,-21.1812621213,0.234276706,3.0,25.0,3.0,10.0,0.0394837667,-1.2392680295,4.0,-44.674051963500006,25.9196,21.0022,0.0,35.5993,90.861,290.7717,191.1045,172.4447,0.0,827.703,8.36
2xbv,8.058458545399999,-34.8031763026,0.10350277390000001,7.0,36.0,7.0,14.0,0.0198262347,-2.1410719798,6.0,-99.37502958540001,10.0038,20.7716,16.2351,61.5193,148.27200000000002,396.8808,125.1398,222.2565,72.2654,1073.3443,8.43
1owh,5.33834022,-17.6713437686,-0.5212986779,5.0,24.0,5.0,15.0,-0.123152971,-4.9155345793,8.0,-50.6307462582,47.3374,104.8099,77.5198,56.0115,93.4775,244.4705,55.9548,125.7616,0.0,805.3430000000001,7.4
4jfs,4.518005004,-16.7098043927,0.146477953,3.0,17.0,3.0,6.0,0.0326843144,-4.0980159649,4.0,-53.5680656424,12.1078,41.431999999999995,53.4214,20.1156,16.6845,134.6153,56.5042,93.7987,0.0,428.6795,5.27
3prs,6.3393927022000005,-29.6825359146,-0.6005962818,18.5,50.0,15.5,21.0,-0.1430965641,-6.2687136058,14.0,-103.59036727600001,0.0,85.8699,82.9615,42.1287,187.2278,357.7863,428.0553,154.9021,0.0,1338.9316,7.82
3g31,2.2612176418,-1.7657231421000001,0.0125646837,2.0,17.0,2.0,8.0,0.0024425217000000003,-0.122859575,2.0,-8.5090341175,19.494,5.2757,17.7685,0.8221,27.5345,21.1517,188.6937,22.980999999999998,0.0,303.7212,2.89
4rfm,8.1334872375,-15.086715715999999,-0.1767050759,5.0,36.0,4.0,17.0,-0.032566956,-1.1468776291,4.0,-62.0808992381,3.2938,0.0,10.5085,49.1565,86.1751,223.7282,260.7027,108.1851,0.0,741.7499,10.05
4kzq,7.926870439400001,-13.719483021099999,-0.0112003923,1.5,18.0,1.5,11.0,-0.0055598542,-1.2634291901,2.0,-33.422579419899996,0.0,7.6869,24.6284,8.0472,50.7786,381.9413,82.7629,33.6616,0.0,589.5069,6.1
1r5y,5.0581983843,-17.7818293673,0.13427267939999998,1.0,13.0,1.0,4.0,0.0179851748,-5.9107484811,2.0,-61.077052159,0.0,27.2315,100.8044,32.3572,61.606,158.1351,36.3999,34.5024,0.0,451.0365,6.46
3nq9,2.0324201061,1.5720671122999998,-0.18599839420000003,6.0,10.0,6.0,7.0,-0.0244912311,-0.0,8.0,-3.6660270294,0.0,35.7962,0.0,0.1095,20.8559,22.6165,379.714,43.8468,0.0,502.9389,4.03
3lka,3.863805273,-10.3035760817,-0.1168229523,2.5,12.0,2.5,4.0,-0.0241098163,-1.3269420892000001,4.0,-42.2439482492,0.0,5.9892,28.3686,6.2117,94.5548,131.0072,58.4864,90.50200000000001,0.0,415.1199,2.82
2fxs,3.935247199,-17.8996718707,-0.4639104203,9.0,28.0,9.0,8.0,-0.09030728880000001,-2.9689768126,8.0,-67.0535506837,48.5979,13.3477,82.7155,48.4963,54.6794,120.111,155.2794,143.0131,49.6202,715.8605,6.06
1vso,4.1786265159,-20.5217005784,-0.7740813366,7.5,21.0,7.5,6.0,-0.14913318679999998,-6.7660565002999995,6.0,-58.9081515686,44.9711,105.4784,56.8092,7.3769,20.6176,35.1711,162.3489,66.8801,0.0,499.6533,4.72
3l7b,6.1088347905,-33.9518217945,-0.8862099529,4.0,19.0,4.0,2.0,-0.1759422463,-5.2251700479,4.0,-94.8727579419,21.8562,49.8115,94.1096,90.7416,119.9789,92.0483,134.3992,211.7665,24.1735,838.8853,2.4
2qe4,6.697379831599999,-3.1727183299,-0.0703783655,4.0,24.0,4.0,14.0,-0.0352515294,-2.3932971861000003,4.0,-32.725565877600005,7.3139,8.6173,53.7027,6.782,26.103,248.5706,298.3802,168.3752,0.0,817.8449,7.96
3o9i,7.0418780799,-24.9122470251,-0.40062490310000004,14.5,42.0,11.5,17.0,-0.10937069390000001,-5.4383735862,10.0,-113.060977444,25.6506,51.4251,25.9275,32.9182,166.222,227.3418,410.8671,217.3977,0.0,1157.75,11.82
1u1b,5.508832635599999,-54.1607182275,-1.1668945712,14.5,51.0,14.5,3.0,-0.22694914089999998,-6.838385949199999,14.0,-136.262711119,36.5306,100.5058,55.097,60.1102,171.7592,201.7505,129.13299999999998,112.8782,0.0,867.7645,7.8
2qbq,5.879039708400001,-29.369834457800003,-1.2837101886,7.0,31.0,7.0,15.0,-0.23104201510000003,-4.4840957613,8.0,-59.0601233617,32.8945,66.539,12.6148,37.1787,58.0085,171.731,224.8436,147.4699,3.1386,754.4186,7.44
5c28,4.2065724849,-3.9444084891,-0.0904759915,1.5,12.0,1.5,6.0,-0.013642913999999999,-0.4671817857,2.0,-4.8434911915,0.0,0.0,42.3824,20.3876,44.5855,88.0079,243.7509,11.6201,62.0237,512.7581,5.66
4m0y,5.3161374777,-14.585250607699999,-0.17907424859999999,3.0,22.0,3.0,9.0,-0.038361527,-2.9613118420999998,2.0,-43.1269528508,19.8757,0.0,26.0569,88.1135,60.4341,194.1088,107.4875,100.8406,0.0,596.9171,6.46
2weg,3.3189542312,-6.9511086924,-0.2775452811,1.5,11.0,1.5,5.0,-0.058693869800000006,-1.5343583913999999,2.0,-37.0981418193,0.0,0.0,62.9802,18.1208,61.9764,142.0174,62.6707,20.9987,0.0,368.7642,6.5
1syi,6.4429468203999996,-27.9233995127,-0.5834619554,3.5,17.0,3.5,4.0,-0.1071995635,-9.2853305939,3.0,-91.6584433941,36.5794,62.1685,35.5459,27.057,52.3077,76.2531,176.6098,94.1962,0.0,560.7176,5.44
3ui7,5.8256196316999995,-7.1540727102999995,0.0764956721,3.0,24.0,3.0,8.0,0.0048997132,-1.1351124495,4.0,-20.9249733804,0.0,0.0,23.747,44.9719,74.9212,184.7539,248.7864,154.5457,0.0,731.7261,9.0
5aba,3.8043852481,-9.7562311739,0.1461992268,4.0,23.0,4.0,9.0,0.0332417668,-0.0404519735,6.0,-35.6275383787,0.0,0.8499,45.2071,2.887,46.601000000000006,97.9082,76.1674,123.9851,76.2412,469.8469,2.98
3udh,5.2178571526,-9.6335182969,0.2557386234,0.0,14.0,0.0,7.0,0.06150313650000001,-2.9537715649000003,0.0,-32.0294105186,20.8494,22.3551,6.8865,17.6842,38.2436,155.2787,65.7777,80.4215,0.0,407.4967,2.85
3kwa,1.8678836293,-4.5169561133,0.4471575087,12.0,14.0,12.0,4.0,0.07920225019999999,-1.9627605608,14.0,-40.7937358306,83.7858,0.0,32.2127,31.2511,22.1071,32.667,205.8964,146.7598,0.0,554.6799,4.08
4gr0,7.209707926799999,-26.7363119618,-0.5971562136999999,12.0,44.0,11.0,22.0,-0.1461772221,-3.2486638845,10.0,-98.30718550379999,0.0,57.2044,13.117,35.4287,221.24099999999999,317.58,248.7861,154.8894,69.6176,1117.8642,9.55
1nc3,6.8642854811000005,-32.428949856500005,-0.6985318666,3.5,19.0,3.5,0.0,-0.19306923780000002,-8.5498014917,4.0,-124.067280955,13.0872,17.6719,138.9268,52.1306,93.8064,66.923,110.9329,222.8393,0.0,716.3181,5.0
3fcq,2.8666916320999998,-17.011386141099997,-0.7196783833,3.0,14.0,3.0,7.0,-0.1753187798,-2.0831629443,4.0,-51.84617586270001,9.757,55.5946,3.633,3.4734,73.1053,77.6165,204.2033,44.8227,0.0,472.2058,2.77
2vvn,4.9339818528,-20.9378314601,-0.6242073249,4.5,16.0,4.5,1.0,-0.1448569401,-4.3823240238,4.0,-79.685766808,4.204,27.5193,88.4826,19.6876,50.4612,45.0138,116.4374,168.4322,0.0,520.2381,7.3
5c2h,7.0535919152,-10.6084291955,-0.051388309400000005,8.0,31.0,8.0,14.0,-0.0070781785,-1.0809735526,10.0,-35.1598651547,0.0,4.973,39.8461,27.1166,94.5224,295.9777,337.7456,130.474,61.7627,992.4181,11.09
4w9i,5.9784642779,-13.859740978900001,-0.230462558,6.0,33.0,6.0,10.0,-0.0512856208,-3.0534895304000003,8.0,-62.1053904692,3.8739,0.0,60.3625,16.1828,95.9988,244.6043,147.0083,111.15799999999999,0.0,679.1886,5.96
2qbp,6.553872513099999,-35.4928329402,-1.2092536187,9.0,37.0,9.0,14.0,-0.22050909870000002,-4.9296689316,8.0,-77.398451592,44.0316,73.7484,15.821,36.6355,134.6844,286.4927,156.2769,217.0104,2.1316,966.8325,8.4
3f3d,3.8475291299000003,-15.2673669681,-0.6782435332,4.5,9.0,4.5,1.0,-0.1400012363,-4.991986242,6.0,-74.7694840689,35.0586,59.776,0.0,0.0,27.5476,0.0,28.23,114.1137,0.0,264.7259,7.16
4de2,5.7632876515,-17.9259161429,0.1273852083,5.0,24.0,5.0,11.0,0.0043055863,-5.5858124111,6.0,-66.19758985840001,4.1643,14.9263,43.7698,72.3887,98.2132,188.1153,60.0873,127.5055,0.0,609.1704,4.12
3p5o,6.3249796237,-6.572935918200001,-0.0697475641,5.0,30.0,5.0,13.0,-0.0119192125,-0.8709900354000001,6.0,-17.9076229023,0.0,4.678,4.1154,32.4535,89.2114,214.6512,265.1605,73.3757,29.9598,713.6055,7.26
3cj4,5.0117464626,-8.1283234679,-0.31624421350000004,5.0,25.0,5.0,12.0,-0.0769724406,-3.0022479189999998,8.0,-37.7039752197,22.5693,28.9423,12.0474,17.9798,25.9708,118.3946,198.1589,102.1749,26.1757,552.4137,6.51
2yge,6.6039038660000005,-21.684069516300003,-0.416989065,5.5,40.0,5.5,16.0,-0.0944881818,-2.7299837658999997,4.0,-76.8301802145,15.8824,35.1752,7.0031,112.7368,142.8347,17.9721,362.1744,219.6009,0.0,913.3796,5.06
3fv1,7.0751051769,-40.1114801071,-1.0388932312999999,6.0,21.0,6.0,2.0,-0.20916934329999998,-11.042266525799999,6.0,-128.442013357,43.7504,113.2097,57.0667,13.0496,17.022000000000002,27.7266,96.9337,241.9114,0.0,610.6701,9.3
2wer,6.3231312288999995,-15.6638476527,-0.294056141,1.0,25.0,1.0,11.0,-0.0641363656,-2.1092458487,2.0,-51.8809726283,9.8979,14.533,51.2223,35.067,74.7019,78.0735,269.3532,98.1855,45.7491,676.7834,7.05
1w4o,4.0356033008,-30.4724899748,-0.7113826114,4.0,21.0,4.0,1.0,-0.1622186484,-5.6298144762,4.0,-87.62343422020001,21.1508,72.0349,28.9953,39.7907,77.505,99.5472,140.3349,76.1587,0.0,555.5175,5.22
